claim_id,title,description,url,verdict_date,keywords,domain,verdict,category,sub_category
51,British Government cuts,british government cuts bbc news harrogate theatre risk council devon county faces  55m cut spending dismay abuse funding charity helps victims domestic says police lose 10000 officers 2013 put toy libraries jeopardy manchester austerity hit frontline services leisure centres swimming pools public toile may leave north east without forestry commission bases saveourforests proposes library hours across district opening slashed inquiry uk science house commons committee launched english residents march showdown looming teacher training telegraph via cameron defends nhs overhaul plan david strongly defended coalitions plans major overhau daily express health staff lobby reform protesters opposed governments radical reforms home secretary  denial  effects incl 14 office grants rt publicfinance ministers tweak local finance settlement  catch21p rosanna blogs sure start ukcuts  cc claretaylor facing read media statement share thoughts ja 500 jobs teepeecreekcom womens groups struggle amid centre promoting women violence charities aff pcs job devastatecommunities politicscouk addthis campaign fights bus save subsidised routes found  end empty tax scottish authorities given new powers increase battle waged book supporters pack town hall gallery threatened ukcuts impending could see number cab close country hostel safety privatisation probation hostels compromise coalition gvernment kills debt advice funds guardian problem tory led officer posts set disappear ne poole woman fears disability prisoner disabled  savage  governm learn privatising work mean fewer labour shadow yvette cooper 20  threaten  765m legacy speech language therapy rcslt observer givingvoiceuk legal aid cruel effect vulnerablefeatures destroying big society pupils taken class newfromthebbc parents skye taking children sprnch concept csv head foolish time cutting mcinnes dtn mps back claims camerons flagship pr depressing day 5 shutting going budgets city details saving apparently 4th deprived top hardest homelessness  109m outlines extent closures service reduction uncap stop blame simon jenkins ge half million homes weekly bin collections scrapped since came power fb expected govt deception  much lower expected  west midlands trust 1600 area likely suffer disproportionately rest,,2011-02-08 00:00:00,British Government cuts,Trec2012,,,
52,Bedbug epidemic,bedbug epidemic get rid bedbugs heres sage advice travel without picking hitchhikers several national agencies convene today summit washington dc bed bug problem getting bad actually got bugs let deadbedbugs help facts treatment addresses lighter note wrapped second cue jokes conference hotels etc rapidly evolving fight pesticides tech news disease health risks bites see cover whats take controllearn pesticide alert welcome pest em cost 60 complaints logged virginia beach 2010 kevin kordek president aactive termite pe probably difficult insect think dealing right nowstoy hedges ent dir serv terminix post product insightinsect control necessityreviewsdemand cs 8 oz bugscarpenter beesantsspid steamer enemy inundated calls bedbugbgoncom travelnews ny city council wants us invest crisis abating specialists warn average female produce 400000 offspring infestation spreads south florida really dont good feel extent cbs video report magic exterminating cats petowners goto guide best spray kill bugsproduct insightkleen free naturally 16oz scabies lice expert talks house pests certainly attracted media attention p basic joan wardthere nine hundred thousand species insects world bite caraselle killer insightcontrolling reviewsrepel hg406t lemon eucalyptus 4ounce repellent site keeps killing 2 months ruin relationship infestations cheadle stockport gatley omg walmart,,2011-02-03 00:00:00,Bedbug epidemic,Trec2012,,,
54,The Daily,daily review murdochs ipad newspaper rupert launch offers glitzy graphics faster forward news corp launches tabletonly app designedfromscratch dail web stunning slow five days h extremely good analysis difficult murdoch make money via buzzmachine blog midfebruary 99cents per week corps foray world digit priced dated says launching weeks peter basically heard last wee dld11 james paywalls google apple son media mogul coming next two jr san francisco ca usa social tablet dailynewstabletcom cost 1 apps blu murdoch 14 information technology corp  daily  099 editors weblog paid content mashable  daily  officially feb 2 ipadonly paper wednesday ipadapps kinda much anticipated ipadonl official date set socialutility february 2nd ipadspecific newspap sets dai ny 2very soon steve jobs mashablemedia cnn launched   ios 43 around corner months delays ap major service teaser forbes thingy business ipadexclusive debuts digital new york eweek nfc iphone read roundup nextgen exp scheduled afp unveil publication succeed behind wall tell today 99 cents sold exclusively throug exclusive early look newsme times  answer techcrunch leggos  peek dailys corporation owns several publications leggotunglei  thedaily paywall offline environment yesterdays anyone goes sale collaboration subscrib eve rival offer previews socialmedia tech p doomed hit mediamemo daily formal debut hours point hits ipads expect taken 30m 100 journalists really guardian century old washington post first adweek special live coverage holding event tabletfocused n day interesting watching ipadnewspaper delivered 400 month reinvent later fb person said stories like egypt catermade finally covers engadget apples eddy cue future newsp virtual th looking trying liveblog follow along age erick way e magazine described,,2011-02-08 00:00:00,The Daily,Trec2012,,,
55,berries and weight loss,berries weight loss amazon rain forest safe acai berry diet powers attributed scams free trials genius one associated supposed use powder 500 ehowcom extraordinarily anyone heard purchasing best pills advantages king bop loved appreciated solely lucky en lose   recently become popu info detox products curious natural cleanse program aca foods burn belly fat probably dont know herbs tips th r   r  many th claim  h l  successful requires permanent changes  f dietary  nd e using worlds effective nutrition facts behind new workouts first         precisely w    ber whenever think buy cicerone superiority lfittips select work im trying pe supplements really help bamadems reason ambriadealcenterus years plans purplish fruit harvested palm trees madwrite   also colon cleansing might visit much last post deto random concepts anything explicit since full excitement socialbookmarkingnet latest eating regimen reviews lbs rapid zwakorg get benefits yo medicine food northcountry boypost ron duckett gimme candy finest rated blast number 1 superfood healthy contains fibers swanson vitamins review calorie control vitam contents health hard figure youre reduction advertised sugge way makes look sexy warning looking current articles tafdropdn blue16 succeed hoodia gordonii site cultivated r reading helps understand juice regime truly operate excess heading answer question soo plus article briefly explain include increase bodys energy levels increased immune system cardiovascular shedd confusing industry analysts believe arent directly res helen arsenault january 31 2011 talk show mogul op hi thank fast may perfect chicago independent pressacai lo formula flush pounds bottle dietdiet foodweight lossbeautysally beautybea losing people overweight obe finally roller coaster supplement chocolate tasting plan demand eventually lead living adi news promote imp beginning sticking expectations named super fruits cl newsweight newsacai scientifically prov qa product real wait brand fezangee pro read cause side effects effe self improvement individual large amount accept cena austin meyer thin ra frum say goodbye ultima  making larg scam rachels blog experien well beneficial top purchased line,,2011-02-08 00:00:00,berries and weight loss,Trec2012,,,
56,Hugo Chavez,hugo chavez golf venezuelan president im enemy says venezuelas congratulates golfer vegas questions exclusive caracas courses venezuela   realestate threatens seize bank efe threatened expropriate rights group claims using judiciary foes interview sweetheart champions speaks meeting marks 12 years office power promising news press apologizes people ahead 2012 election venezuela039s reelection written said sunday denies hes cheering venezuelans pga win lpga road runner new york city ny search enhanced google telecom build submarine cable link cuba whats attractive cuban thats need around bit redistribution resources hopeful settlement disgruntled clients chavezs threat funding risk activists sobre ley de soberan apol tica deautodeterminaci n rises tour homeland rejects larry dorman san diego ch vez sport dismissed star jhonattan gains notice marches planned anniversary dictators ouster opponents supporters curren latin american herald tribune squatters attempt massive invasion capital stage rallies ap mark natl democracy day presstv farmers leave hacienda bolivar one lands expropriated government farm     gives first big celebrating,,2011-02-04 00:00:00,Hugo Chavez,Trec2012,,,
57,Chicago blizzard,chicago blizzard city regional services brace storm bracing approaching ldquoof historic proportionsrdquo 2 feet snow 24 hours latest warning dont travel stay indoors breaking news save poptarts tmr jswo rt cnnbrk could get next forecasters say timesxemail warned barrelling toward emergency officials offe national guard called woow chill people mayor closed public schools arrives firefighters snowmobiles kidding chicagosnowevent stuck call us help w ur reservations 8779662929 huffingtonpost makes air imposs 440 pm free updates 9000 flights cancelled due storms blog bus blocks lake shore drive entire length notice wow crazy cnntravel downtown shut 2011 foxchicago traps drivers lsd prestonburke death trap 100s stranded n cars fire department using mobile reach folks comed crews restoring power customers winter hits harder toronto cityofchicago area watch days white parts midwest proportions expect braces massive reuters monster heading airlines issue ticket change waivers winters tel4rent windy falls revs weather cnn looks like getting ready foot major winterstorm bringing ice tornadoes central braced potentially dangerous sto thanks rt cnnbrk alerts extend new mexico maine warnings 7 states blizzards wacky easing forecast website check school closings dallas airport opens one runway follow cn parking ban kicks first time four years huffingtonpostcom   tue feb 01 161559 stretching laid sheet p alas office closing tmrw joblist shd update normal long pwr web home comes snowmagedon begun beginning believe gone okay gridlock hour accidents traffic mounting megastorm moves great giant system brings tornados across country winners losers created among businesses beautiful day walk snowpocalypse tsunami send 18foot waves tonight via timenewsfeed live cams cam channel 12 scenes 11 23 snowstormblizzard 2001 timelapse 99 hey charlestrippy allispeed move best type wrigley field roof blown onto clark street  jimcantore lakefront measured wind gusts near 70 mph weather  dailyamerican colossal roars nation heartland ap colossus r 211 building moved watching panes glass deform milwaukee avenue west halstead shuts worst still way 9 fears nations forbes weather  abandoned vehicles slow dr reopening suntimes baltimore sun blogabandoned slo united karasiwo pictures addthis monstrous barrels nation roaring third paralyzed th good morning outsidesnow house winds high snowday chicagosurprise big il panel ripped cta yellow line 5th snowiest counting arkansas thundersnow rare oklahoma blitzes vast brought conditions large sections uppe picture coworkers cannot imagine much amazing pic explains ppl left yesterday snomg inches biggest  breakingnews received 195 record gettin snowmagedden lot northbound business 1000mile wide buries eastern cubs damages press box,,2011-02-02 00:00:00,Chicago blizzard,Trec2012,,,
58,FDA approval of drugs,fda approval drugs oks viibryd treat depression approved new drug called adults major depressiv approves rituxan firstline maintenance use follicular lymphoma chemo101com aurobindo pharma receives usfda levofloxacin tablets news sun gets generic razadyne er angel broking stock tip india reduce risk preterm birth atrisk pregnant women silver spring md feb 4 2011 p kv embattled drugmaker pharmaceutical reported us health reg premature births la times prematurebirth philadelphia inquirer share friends top n npr first prevent birthsmore yahoo smoking sto bioportfolio delivery busi reduces loyours 8   authorized inj injectable makena 37 weeks depressive disorder clears pgxhealth sos sleep update treatment rituximab fl nod dementia stk company got male potency patch visa fedex dhl ems buy medication online witho vilazodone wins,,2011-02-08 00:00:00,FDA approval of drugs,Trec2012,,,
59,Glen Beck,glen beck karen famighetti oreilly says tv shows wont stay air without ads bill oreil glenn ratings 30 year ago fb posts biggest drop cable news show january oxfordgirl becks plummeted sharing even neocon robert kagan enough calls panicmonger glennbeck suck reason 322 overthetop campaign professor results death threats rhetoric inspires target frances fox piven scary via huffingtonpost wields chainsaw pets bunny foxnews tells audience shoot liberals head threatens saw halfand dont fire p2 400 rabbis protest beck use holocaust imagery ask rupert murdoch sanction roger ailes tcot using warn full page ad wsj today comments george soros repair worlds berkovitz letter signed across political spectrum mmfa stop refs sorry topicbut hope must sharedhe may 40 days nights since stopbeck taken credit losing advertiser demand  diminishing memory holocaust  abcnews take prominent place murdochowned alternet 10000 jews defies taunts anchorman brkingworldnews love ignorance world minutes 3 pm really bringing finally theory compares obama mubarak video entertainer crazy echoes charles coughlin 1930s minister sideshow girl asks curiosity look bioin 1996 wor ntgeneral made national pariah dangerous poison system fbi borders line treason murder planet nears critical mass wingnutty egypt uprising crooks liars chris matthews roasts looney tunes say one standards came around nutjob update doubles conspiracy im wrong huffpost reports responds accusations statements weirdest outfit yet whats william kristol sounding reasonable criticizes krauthamer condemns tahrir huff cape photo turd brainiiits superclown violent images threatening symbols mediaite rosettastone please sponsoring reckless reporting view youre better 2 fans left targeted rosetta stones sponsor teaparty proves complete idiot jr  morning ho  go caliphate fellow fox er rumors gop powers embarassment refuses disparage morning joe  fox  bullit new york times falsely depicts controversy hhrs dig ranting sparks 78yearold sociologist rants trigger ny joenbc morningmika chrislicht msnbc cnn p2b p21,,2011-02-08 00:00:00,Glen Beck,Trec2012,,,
60,fishing guidebooks,fishing guidebooks trout tips   must learn wedding preparation help catch bigger 29 gallon fish tank80 rutherfordton tank bought last year didnt use long less 6 months rathdrum man represent west bassmasters classic pro   angler 3pm4pm hosting baited 7seas contest prizes 1st 2nd 3rd salmons alaska bait type equipment used dictates lodge nature abode news 7th annual ice derby kaufmann streamborn northwest fly blog steelhead indiana updated whether saltwater deep sea nets full standard virginias seve ben g outdoors spiral wrap rods bengoutdoors tropical tanks aquariums 3 clean wind blowing east would amazing go around nearby islands gonna plan trip barracudas tx 2coolfishing day oneguna try get done va beach charters course striped canada free online articles directory submit top authors southwest magazine explained apalachicola florida report portland oregon supplies spinning reels inshore salwater mastering big chill world like every kind levelled skill level 76 runescape south indian river 12511 snook pretty quiet lately jetties lazer trokar returns sponsor boatus collegiate bass championship catchcatfish posted video hook whole shad gofishn prettyman porn provider coming film festival bring subject socalled habitats everglades national travellers wildlife guides flori   idaho raft solitude trips id travel dakota hunting sd pheasant details gt cant find better deal offshore boats ebay check wild sports sailfish mutton grouper shark 12182009 crappie hot percy priest wft newsanyone looking reall caught 56044lb blue marlin flick flickfishing relaxing rejuvenating sport makes probably soli family clinic marine aquarium wanting chesapeake checkout virginia charter ad vancouver men busted illegal three prohibited barbed hooks ba tased mpd fight tourney jan 27 2011 842 26year old cable wisconsin game seeks ferretfinding volunteers arizona department offering rare opportuni 3d lite android bjd productions newsbig techniques  fanny freezer  woodbury native minnesotan lived enou tbf flw outdooors introduce high school program new beaches good weather brought handful surf fishe florida39s freshwater destinations complete book cold catfish   different wfnewscold c maine prices lures store info cressi spear america black snork huge impact bradenton herald 28 illinois winter driftboaters using cop lets magnificent lodges water holden vacation rental holdenbeach ise show dan wells ron howe boating   crank delta set mckinney parks host 8 friday time pack week canadians rapala original floater 11 floating fished fishingkahunacom youghal bridge one ther small cod angling minnesota extreme rescuers boat save two stranded fishermen bend shops kayak monster bluewater jon schwartz channel cat north american forum dual purpose thread trying figure post p general coarse nurseries following todays meeting ifi aci ireland yap palau part 2 promotional produced rating 0 5 tackle evaluation daiwa exceler gear salmon best wide variety flambeau bazuka rod case wfnewshinged door ea shop peripheral list love seller interesting knowing tides everything rt today lake neshonoc salem friends days der sedatives whale line whales oceanshash0x3048878 stillwater thermal boots half price news pair bo,,2011-02-07 00:00:00,fishing guidebooks,Trec2012,,,
61,Hu Jintao visit to the United States,hu jintao visit united states green energy sector weekly update obama rolls red carpet chinese president ar lost translation worlds two powerful leaders meet would expect tran brief china halves import tax consumer electronics hus news halve meets uschina relations 1979 today timecom whiterabbitradionet praises trip us fruitful beijing ap   presiden summit praised reducing tensions korea really 2b deal nk shelling cnn et al wrapup cnns jaime florcruz served time magazines longtime bureau looking back presidents said theyd la sign agreement boost twoway investment pianist lang stirred trouble white house state dinner csmonitorcom 2011newsasia challenges human rights newsasia grapeylyle serves german riesling http bitlyhymrzt american diplomats less week visited washi washington briefing set bid major aerospace programs jintaos highprofile vi loans gt signature wrong kind bipartisanship last china made visi surprised well gets along chairman dont scott breitbart picked intriguing report plays propaganda tune tcot surveys evidence chinas soft power chicago high school antiamerican blaze whitehouse theblaze tlot icon teaparty ocra tx17 iamthemob sgp sour note fete michelle fashion faux pas designer criticizes gown says folk song played gabbyhoffman littlebytesnews defends antius completely touchignorant world history surprising quote dc still faces many challengesand lot needs donein terms reassures taiwan obamahu talks afp   top envoy tu chineseborn denies insult reporting,,2011-02-07 00:00:00,Hu Jintao visit to the United States,Trec2012,,,
